uniqueID,AnomTot,AnomKill,AnomWound,primary.source,year,sequence,cluster,date,killed,wounded,total,offender.race,offender.gender,offender.age,offender.county,offender.state,attack.city,attack.county,attack.state,attack.location.name,location.type,location.area,location.atmosphere,location.environment,attack.latitude,attack.longitude,attack.site.count,firearm.count,weapons.description,assault.weapon.used,offender.count,prior.mental.health.warnings,victim.offender.relationship,BlackSwan
Mother Jones|2009|40122|43|Fort Hood,y,y,y,Mother Jones,2009,18,5,11/5/2009,13,30,43,Middle Eastern,Male,39,Bell,Texas,Fort Hood,Bell,Texas,Fort Hood,Military base,Indoors,Private,Non-residential,31.13556,-97.7837,1,1,FN Five-seven semiautomatic handgun,N,1,Y,Unknown,y
CNN|2010|40197|8|,,y,,CNN,2010,19,14,1/19/2010,8,0,8,White,Male,39,Appomattox,Virginia,Spout Spring,Appomattox,Virginia,Single family home,Residence,Indoors,Private,Residential,37.3931613,-78.8892176,1,1,high-powered rifle,Y,1,,Known,y
Mother Jones|2010|40393|11|Manchester,,y,,Mother Jones,2010,20,11,8/3/2010,9,2,11,Black,Male,34,Hartford,Connecticut,Manchester,Hartford,Connecticut,Hartford Distributors,Manufacturing,Indoors,Private,Non-residential,41.79876,-72.5701,1,2,Two 9mm Ruger SR9 semiautomatic handguns,N,1,,Known; Unknown,y
Mother Jones|2011|40551|19|Tucson,y,,y,Mother Jones,2011,21,3,1/8/2011,6,13,19,White,Male,22,Pima,Arizona,Tucson,Pima,Arizona,Safeway parking lot/Political rally,Retail,Outdoors,Public,Non-residential,32.33594,-110.975,1,1,9mm Glock 19 semiautomatic handgun,N,1,Y,Unknown,y
NY Crime|2011|40731|10|Grand Rapids,,y,,NY Crime,2011,22,9,7/7/2011,8,2,10,Black,Male,34,Kent,Michigan,Grand Rapids,Kent,Michigan,Single family homes; Street,Residence; Street,Indoors; Outdoors,Private,Mixed,43.0062367,-85.6532132,3,1,,N,1,Y,Known; Unknown,y
LA Times|2011|40828|9|Seal Beach,,y,,LA Times,2011,23,2,10/12/2011,8,1,9,White,Male,42,Orange,California,Seal Beach,Orange,California,Salon Meritage hair salon,Retail,Indoors,Public,Non-residential,33.74118,-118.105,1,3,".45-caliber Heckler & Koch, 9mm Springfield semiautomatic handguns; .44 Magnum Smith & Wesson revolver",N,1,Y,Known; Unknown,y
Mother Jones|2012|41110|82|Aurora,y,y,y,Mother Jones,2012,24,4,7/20/2012,12,70,82,White,Male,24,Arapahoe,Colorado,Aurora,Arapahoe,Colorado,Century 16,Movie Theatre,Indoors,Public,Non-residential,39.70604,-104.821,1,4,Two .40-caliber Glock semiautomatic handguns; .223-caliber Smith & Wesson M&P15 semiautomatic rifle; 12-gauge Remington 870 pump-action shotgun,Y,1,,Unknown,y
Mother Jones|2012|41257|30|Newtown,y,y,,Mother Jones,2012,25,11,12/14/2012,28,2,30,White,Male,20,Fairfield,Connecticut,Newtown,Fairfield,Connecticut,Sandy Hook Elementary School,School,Indoors,Public,Non-residential,41.419965,-73.2795884,2,4,"10mm Glock, 9mm SIG Sauer P226 semiautomatic handguns; .223 Bushmaster XM15-E2S semiautomatic rifle; Izhmash Saiga-12 12-gauge semiautomatic shotgun",Y,1,Y,Known; Unknown,y
Mother Jones|2013|41533|20|Washington,y,y,,Mother Jones,2013,26,13,9/16/2013,12,8,20,Black,Male,34,Tarrant,Texas,Washington,Washington,District of Colombia,Washington Navy Yard,Military base,Indoors,Private,Non-residential,38.87498,-76.9945,1,2,Remington 870 Express 12-gauge shotgun; Beretta handgun,N,1,Y,Unknown,y
Mother Jones|2014|41732|15|Fort Hood,y,,,Mother Jones,2014,27,5,4/3/2014,3,12,15,Hispanic,Male,34,Bell,Texas,Fort Hood,Bell,Texas,Fort Hood,Military base,Indoors,Private,Non-residential,31.14172,-97.7776,1,1,.45-caliber Smith & Wesson handgun,N,1,Y,Known; Unknown,y
